finding_id,timestamp,network,contract,file,line_start,line_end,swc_id,title,severity,confidence,status,remediation,commit_hash
SmartTourismToken::SWC-108::67,2025-05-15T05:30:11+00:00,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,67,75,SWC-108,Potential issue SWC-108 detected,Low,0.9,Open,Use SafeMath / checked arithmetic,0x5af1417c...ee0a
SmartTourismToken::SWC-106::258,2025-05-16T16:50:41.379746835+00:00,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,258,263,SWC-106,Potential issue SWC-106 detected,High,0.86,Open,Validate external call return values,0x36037090...0a21
SmartTourismToken::SWC-106::399,2025-05-17T19:11:11.759493670+00:00,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,399,405,SWC-106,Potential issue SWC-106 detected,Medium,0.83,Open,Refactor to pull over push model,0x8103b5b0...de1a
StakingPool::SWC-107::69,2025-05-18T15:31:42.139240506+00:00,Arbitrum Sepolia,StakingPool,contracts/StakingPool.sol,69,72,SWC-107,Potential issue SWC-107 detected,Medium,0.92,Accepted,Use SafeMath / checked arithmetic,0x7ff6e674...5d2c
,2025-05-20T04:52:12.518987341+00:00,Arbitrum Sepolia,SmartReservation,contracts/SmartReservation.sol,97,103,SWC-110,Potential issue SWC-110 detected,Low,0.71,In Review,Restrict access with onlyOwner,0xbc8f1438...9e65
StakingPool::SWC-105::321,2025-05-21T00:12:42.898734177+00:00,Sepolia,StakingPool,contracts/StakingPool.sol,321,329,SWC-105,Potential issue SWC-105 detected,Low,0.76,Open,Use SafeMath / checked arithmetic,0x12c55e09...c224
SmartReservation::SWC-103::97,2025-05-22T04:33:13.278481012+00:00,Sepolia,SmartReservation,contracts/SmartReservation.sol,97,102,SWC-103,Potential issue SWC-103 detected,Medium,0.84,Open,Use SafeMath / checked arithmetic,0x34ed0dd9...f5fa
SmartTourismToken::SWC-105::43,2025-05-23T06:53:43.658227848+00:00,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,43,45,SWC-105,Potential issue SWC-105 detected,High,0.72,Fixed,Add checks and input validation,0x76d8411a...7fea
SmartReservation::SWC-105::290,2025-05-24T12:14:14.037974683+00:00,Arbitrum Sepolia,SmartReservation,contracts/SmartReservation.sol,290,299,SWC-105,Potential issue SWC-105 detected,Medium,0.94,In Review,Use SafeMath / checked arithmetic,0x594c68be...6c9b
SmartReservation::SWC-108::73,2025-05-25T13:34:44.417721519+00:00,Sepolia,SmartReservation,contracts/SmartReservation.sol,73,82,SWC-108,Potential issue SWC-108 detected,Low,0.81,Open,Refactor to pull over push model,0xc0363155...96b3
StakingPool::SWC-103::249,2025-05-26T18:55:14.797468354+00:00,Sepolia,StakingPool,contracts/StakingPool.sol,249,260,SWC-103,Potential issue SWC-103 detected,Medium,0.76,Open,Validate external call return values,0x6f797081...7806
SmartReservation::SWC-103::217,2025-05-28T03:15:45.177215189+00:00,Arbitrum Sepolia,SmartReservation,contracts/SmartReservation.sol,217,223,SWC-103,Potential issue SWC-103 detected,Low,0.72,Open,Use SafeMath / checked arithmetic,0xfdb071ee...acbe
,2025-05-29T02:36:15.556962025+00:00,Arbitrum Sepolia,StakingPool,contracts/StakingPool.sol,417,422,SWC-106,Potential issue SWC-106 detected,Medium,0.79,Open,Validate external call return values,0x5fdcf571...b870
SmartTourismToken::SWC-112::315,2025-05-30T11:56:45.936708860+00:00,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,315,324,SWC-112,Potential issue SWC-112 detected,Medium,0.95,Open,Use SafeMath / checked arithmetic,0x60c8a9a2...85d4
SmartReservation::SWC-107::80,2025-05-31T09:17:16.316455696+00:00,Sepolia,SmartReservation,contracts/SmartReservation.sol,80,83,SWC-107,Potential issue SWC-107 detected,High,0.9,Fixed,Follow Checks-Effects-Interactions,0x5b3cd330...ebfe
SmartTourismToken::SWC-108::232,2025-06-01T10:37:46.696202531+00:00,Arbitrum Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,232,234,SWC-108,Potential issue SWC-108 detected,Medium,0.91,In Review,Restrict access with onlyOwner,0x4cd8f4d9...eded
,2025-06-02T19:58:17.075949367+00:00,Arbitrum Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,96,105,SWC-101,Potential issue SWC-101 detected,Medium,0.9,Fixed,Use SafeMath / checked arithmetic,0x8b8bf57b...990e
SmartReservation::SWC-106::332,2025-06-03T23:18:47.455696202+00:00,Sepolia,SmartReservation,contracts/SmartReservation.sol,332,334,SWC-106,Potential issue SWC-106 detected,High,0.83,Open,Add checks and input validation,0x8c3ebb18...5441
SmartTourismToken::SWC-108::272,2025-06-05T03:39:17.835443038+00:00,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,272,281,SWC-108,Potential issue SWC-108 detected,Medium,0.81,Open,Follow Checks-Effects-Interactions,0xf0ae1262...a00f
SmartTourismToken::SWC-108::185,2025-06-06T06:59:48.215189873+00:00,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,185,196,SWC-108,Potential issue SWC-108 detected,Low,0.89,Open,Follow Checks-Effects-Interactions,0x4fa89a39...7864
SmartReservation::SWC-101::239,2025-06-07T00:20:18.594936708+00:00,Sepolia,SmartReservation,contracts/SmartReservation.sol,239,244,SWC-101,Potential issue SWC-101 detected,Low,0.88,Accepted,Refactor to pull over push model,0xb7e78fa4...6cec
