finding_id,timestamp,network,contract,file,line_start,line_end,swc_id,title,severity,confidence,status,remediation,commit_hash
SmartTourismToken::SWC-108::67,2025-08-14T02:42:31.406610,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,67,75,SWC-108_0,Potential issue SWC-108 detected,High,0.9,Open,Use SafeMath / checked arithmetic,0x5af1417c...ee0a
SmartTourismToken::SWC-106::258,2025-08-14T02:43:31.406760,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,258,263,SWC-106_1,Potential issue SWC-106 detected,Low,0.86,Open,Validate external call return values,0x36037090...0a21
SmartTourismToken::SWC-106::399,2025-08-14T02:44:31.406852,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,399,405,SWC-106_2,Potential issue SWC-106 detected,High,0.83,Open,Refactor to pull over push model,0x8103b5b0...de1a
StakingPool::SWC-107::69,2025-08-14T02:45:31.406940,Arbitrum Sepolia,StakingPool,contracts/StakingPool.sol,69,72,SWC-107_3,Potential issue SWC-107 detected,Medium,0.92,Accepted,Use SafeMath / checked arithmetic,0x7ff6e674...5d2c
,2025-08-14T02:46:31.407017,Arbitrum Sepolia,SmartReservation,contracts/SmartReservation.sol,97,103,SWC-110_4,Potential issue SWC-110 detected,Low,0.71,In Review,Restrict access with onlyOwner,0xbc8f1438...9e65
StakingPool::SWC-105::321,2025-08-14T02:47:31.407088,Sepolia,StakingPool,contracts/StakingPool.sol,321,329,SWC-105_5,Potential issue SWC-105 detected,Critical,0.76,Open,Use SafeMath / checked arithmetic,0x12c55e09...c224
SmartReservation::SWC-103::97,2025-08-14T02:48:31.407156,Sepolia,SmartReservation,contracts/SmartReservation.sol,97,102,SWC-103_6,Potential issue SWC-103 detected,High,0.84,Open,Use SafeMath / checked arithmetic,0x34ed0dd9...f5fa
SmartTourismToken::SWC-105::43,2025-08-14T02:49:31.407222,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,43,45,SWC-105_7,Potential issue SWC-105 detected,Medium,0.72,Fixed,Add checks and input validation,0x76d8411a...7fea
SmartReservation::SWC-105::290,2025-08-14T02:50:31.407287,Arbitrum Sepolia,SmartReservation,contracts/SmartReservation.sol,290,299,SWC-105_8,Potential issue SWC-105 detected,Critical,0.94,In Review,Use SafeMath / checked arithmetic,0x594c68be...6c9b
SmartReservation::SWC-108::73,2025-08-14T02:51:31.407347,Sepolia,SmartReservation,contracts/SmartReservation.sol,73,82,SWC-108_9,Potential issue SWC-108 detected,High,0.81,Open,Refactor to pull over push model,0xc0363155...96b3
StakingPool::SWC-103::249,2025-08-14T02:52:31.407410,Sepolia,StakingPool,contracts/StakingPool.sol,249,260,SWC-103_10,Potential issue SWC-103 detected,Medium,0.76,Open,Validate external call return values,0x6f797081...7806
SmartReservation::SWC-103::217,2025-08-14T02:53:31.407470,Arbitrum Sepolia,SmartReservation,contracts/SmartReservation.sol,217,223,SWC-103_11,Potential issue SWC-103 detected,High,0.72,Open,Use SafeMath / checked arithmetic,0xfdb071ee...acbe
,2025-08-14T02:54:31.407529,Arbitrum Sepolia,StakingPool,contracts/StakingPool.sol,417,422,SWC-106_12,Potential issue SWC-106 detected,Low,0.79,Open,Validate external call return values,0x5fdcf571...b870
SmartTourismToken::SWC-112::315,2025-08-14T02:55:31.407586,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,315,324,SWC-112_13,Potential issue SWC-112 detected,High,0.95,Open,Use SafeMath / checked arithmetic,0x60c8a9a2...85d4
SmartReservation::SWC-107::80,2025-08-14T02:56:31.407642,Sepolia,SmartReservation,contracts/SmartReservation.sol,80,83,SWC-107_14,Potential issue SWC-107 detected,Critical,0.9,Fixed,Follow Checks-Effects-Interactions,0x5b3cd330...ebfe
SmartTourismToken::SWC-108::232,2025-08-14T02:57:31.407733,Arbitrum Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,232,234,SWC-108_15,Potential issue SWC-108 detected,Low,0.91,In Review,Restrict access with onlyOwner,0x4cd8f4d9...eded
,2025-08-14T02:58:31.407796,Arbitrum Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,96,105,SWC-101_16,Potential issue SWC-101 detected,Low,0.9,Fixed,Use SafeMath / checked arithmetic,0x8b8bf57b...990e
SmartReservation::SWC-106::332,2025-08-14T02:59:31.407856,Sepolia,SmartReservation,contracts/SmartReservation.sol,332,334,SWC-106_17,Potential issue SWC-106 detected,Critical,0.83,Open,Add checks and input validation,0x8c3ebb18...5441
SmartTourismToken::SWC-108::272,2025-08-14T03:00:31.407912,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,272,281,SWC-108_18,Potential issue SWC-108 detected,Critical,0.81,Open,Follow Checks-Effects-Interactions,0xf0ae1262...a00f
SmartTourismToken::SWC-108::185,2025-08-14T03:01:31.407970,Sepolia,SmartTourismToken,contracts/SmartTourismToken.sol,185,196,SWC-108_19,Potential issue SWC-108 detected,Critical,0.89,Open,Follow Checks-Effects-Interactions,0x4fa89a39...7864
